filename,a1_malloc_calls,a2_free_calls,a3_missing_frees,b1_alloc_bytes,b2_free_bytes,b3_leak_bytes,c_run_time_sec
qasan_report_2025-05-15_21-58-36.txt,30662,30117,545,3007157,2927880,79277,1.363871
qasan_report_2025-05-15_21-59-13.txt,31034,30489,545,3065121,2985844,79277,1.249351
qasan_report_2025-05-15_21-59-50.txt,31412,30867,545,3124757,3045480,79277,1.368796
qasan_report_2025-05-15_22-00-26.txt,31832,31287,545,3191817,3112540,79277,1.304804
qasan_report_2025-05-15_22-01-03.txt,30586,30041,545,2993221,2913944,79277,1.255277
qasan_report_2025-05-15_22-01-40.txt,35822,35277,545,3823189,3743912,79277,1.399389
qasan_report_2025-05-15_22-02-17.txt,35927,35382,545,3840181,3760904,79277,1.410558
qasan_report_2025-05-15_22-02-54.txt,31517,30972,545,3141769,3062492,79277,1.298792
qasan_report_2025-05-15_22-03-31.txt,31419,30874,545,3125473,3046196,79277,1.277451
qasan_report_2025-05-15_22-04-08.txt,31419,30874,545,3125273,3045996,79277,1.292229
qasan_report_2025-05-15_22-04-45.txt,31189,30644,545,3087981,3008704,79277,1.259552
qasan_report_2025-05-15_22-05-22.txt,30754,30209,545,3019413,2940136,79277,1.259486
qasan_report_2025-05-15_22-05-59.txt,30754,30209,545,3019813,2940536,79277,1.24056
qasan_report_2025-05-15_22-06-35.txt,30740,30195,545,3017597,2938320,79277,1.258571
qasan_report_2025-05-15_22-07-12.txt,32392,31847,545,3279681,3200404,79277,1.309632
qasan_report_2025-05-15_22-07-50.txt,32392,31847,545,3279485,3200208,79277,1.311414
qasan_report_2025-05-15_22-08-27.txt,31986,31441,545,3215221,3135944,79277,1.293593
qasan_report_2025-05-15_22-09-04.txt,31916,31371,545,3203741,3124464,79277,1.317179
qasan_report_2025-05-15_22-09-40.txt,30586,30041,545,2993621,2914344,79277,1.253781
qasan_report_2025-05-15_22-10-16.txt,30523,29978,545,2983649,2904372,79277,1.273946
qasan_report_2025-05-15_22-10-53.txt,28283,27738,545,2653993,2574716,79277,1.195125
qasan_report_2025-05-15_22-11-30.txt,28702,28157,545,2724963,2645686,79277,1.202873
qasan_report_2025-05-15_22-12-07.txt,28451,27906,545,2680109,2600832,79277,1.188989
qasan_report_2025-05-15_22-12-43.txt,28451,27906,545,2680313,2601036,79277,1.177784
qasan_report_2025-05-15_22-13-20.txt,28269,27724,545,2651029,2571752,79277,1.183195
qasan_report_2025-05-15_22-13-57.txt,29970,29425,545,2920681,2841404,79277,1.257902
qasan_report_2025-05-15_22-14-34.txt,30033,29488,545,2930789,2851512,79277,1.234688
qasan_report_2025-05-15_22-15-10.txt,28465,27920,545,2682461,2603184,79277,1.191934
qasan_report_2025-05-15_22-15-46.txt,28612,28067,545,2705457,2626180,79277,1.199712
qasan_report_2025-05-15_22-16-23.txt,28647,28102,545,2710929,2631652,79277,1.189218
qasan_report_2025-05-15_22-17-00.txt,28465,27920,545,2681849,2602572,79277,1.189171
qasan_report_2025-05-15_22-17-37.txt,28290,27745,545,2654217,2574940,79277,1.18176
qasan_report_2025-05-15_22-18-13.txt,29032,28487,545,2771801,2692524,79277,1.216348
qasan_report_2025-05-15_22-18-49.txt,29102,28557,545,2782881,2703604,79277,1.265691
qasan_report_2025-05-15_22-19-26.txt,28871,28326,545,2746521,2667244,79277,1.195324
qasan_report_2025-05-15_22-20-02.txt,28871,28326,545,2746453,2667176,79277,1.188223
